name,bio,birth_date
"Aşık Veysel","Türk halk şairi ve ozanı",1894-10-25
"Yunus Emre","13. yüzyıl Türk mutasavvıf şairi",1238-01-01
"Pir Sultan Abdal","16. yüzyıl Alevi ozanı",1480-01-01
"Karacaoğlan","17. yüzyıl Türk âşık ve ozanı",1606-01-01
"Köroğlu","Türk halk edebiyatının efsanevi kahramanı",1550-01-01
"Dadaloğlu","19. yüzyıl Türk ozanı",1785-01-01
"Âşık Ömer","Türk halk şairi",1621-01-01
"Gevheri","Klasik Türk edebiyatı şairi",1697-01-01
"Baki","Klasik Türk edebiyatının büyük şairi",1526-01-01
"Fuzuli","16. yüzyıl Türk şairi",1483-01-01
"Nabi","17. yüzyıl Türk şairi",1642-01-01
"Nedim","18. yüzyıl Türk şairi",1681-01-01
"Şeyh Galip","18. yüzyıl Türk şairi",1757-01-01
"Ziya Paşa","19. yüzyıl Türk şairi ve yazarı",1829-09-07
"Namık Kemal","Tanzimat dönemi Türk yazarı",1840-12-21
"Recaizade Mahmut Ekrem","Türk şair ve yazarı",1847-03-08
"Abdülhak Hâmid Tarhan","Türk şair ve oyun yazarı",1852-01-02
"Muallim Naci","Türk şair ve yazarı",1850-01-01
"Sami Paşazade Sezai","Türk romancısı",1860-06-11
"Halit Ziya Uşaklıgil","Türk romancısı",1866-02-27
"Mehmet Rauf","Türk romancısı",1875-08-07
"Hüseyin Rahmi Gürpınar","Türk romancısı",1864-08-17
"Ömer Seyfettin","Türk hikâyecisi",1884-03-11
"Refik Halid Karay","Türk yazarı",1888-03-17
"Yakup Kadri Karaosmanoğlu","Türk romancısı",1889-03-27
"Halide Edib Adıvar","Türk romancısı",1884-06-11
"Peyami Safa","Türk romancısı",1899-04-02
"Ahmet Hamdi Tanpınar","Türk yazarı",1901-06-23
"Sabahattin Kudret Aksal","Türk oyun yazarı",1920-03-05
"Orhan Veli Kanık","Türk şairi",1914-04-13
"Melih Cevdet Anday","Türk şairi",1915-03-13
"Oktay Rifat","Türk şairi",1914-06-02
"Fazıl Hüsnü Dağlarca","Türk şairi",1914-08-26
"Cahit Sıtkı Tarancı","Türk şairi",1910-10-04
"Necip Fazıl Kısakürek","Türk şairi",1904-05-26
"Attila İlhan","Türk şairi",1925-06-15
"Cemal Süreya","Türk şairi",1931-09-13
"Edip Cansever","Türk şairi",1928-08-08
"Ece Ayhan","Türk şairi",1931-05-18
"Sezai Karakoç","Türk şairi",1933-05-02
"Turgut Uyar","Türk şairi",1927-08-04
"İlhan Berk","Türk şairi",1918-11-18
"Onat Kutlar","Türk yazarı",1936-01-02
"Tomris Uyar","Türk şairi",1941-07-27
"Enis Batur","Türk şairi",1952-12-00
"Lale Müldür","Türk şairi",1956-01-01
"Murathan Mungan","Türk yazarı",1955-08-21
"Sunay Akın","Türk şairi",1962-11-02
"Ataol Behramoğlu","Türk şairi",1942-04-13
"Özdemir Asaf","Türk şairi",1923-06-11
"Can Yücel","Türk şairi",1926-05-06
"Gülten Akın","Türk şairi",1933-05-23
"Metin Altıok","Türk şairi",1941-10-05
"Hilmi Yavuz","Türk şairi",1936-05-06
"İsmet Özel","Türk şairi",1944-09-09
"Adnan Özer","Türk yazarı",1938-01-01
"Ayhan Geçgin","Türk şairi",1942-01-01
"Birhan Keskin","Türk şairi",1963-01-01
"Cevat Çapan","Türk şairi",1933-05-12
"Doğan Hızlan","Türk yazarı",1938-09-08
"Erdal Öz","Türk yazarı",1935-05-14
"Ferit Edgü","Türk yazarı",1936-06-29
"Gülseli İnal","Türk yazarı",1955-01-01
"Handan İnci Elçi","Türk yazarı",1950-01-01
"İnci Aral","Türk yazarı",1944-01-01
"Jale Özata","Türk yazarı",1940-01-01
"Kaan Arslanoğlu","Türk yazarı",1965-01-01
"Latife Tekin","Türk yazarı",1957-08-09
"Mehmet Eroğlu","Türk yazarı",1960-01-01
"Nazlı Eray","Türk yazarı",1945-07-15
"Oğuz Atay","Türk yazarı",1934-10-12
"Peride Celal","Türk yazarı",1916-07-30
"Qurban Ali","Türk yazarı",1972-01-01
"Rıfat Ilgaz","Türk yazarı",1911-06-07
"Sevgi Soysal","Türk yazarı",1936-10-11
"Tarık Buğra","Türk yazarı",1918-10-16
"Ülkü Tamer","Türk şairi",1937-04-15
"Vedat Türkali","Türk yazarı",1919-03-01
"Yusuf Atılgan","Türk yazarı",1921-06-27
"Zeynep Sayın","Türk yazarı",1950-01-01
"Ali Lidar","Türk yazarı",1928-01-01
"Bekir Yıldız","Türk yazarı",1932-06-18
"Cengiz Bektaş","Türk yazarı",1934-01-01
"Demir Özlü","Türk yazarı",1935-09-01
"Erhan Bener","Türk yazarı",1929-01-01
"Fakir Baykurt","Türk yazarı",1929-06-15
"Gülten Dayıoğlu","Türk yazarı",1935-07-09
"Hasan Ali Toptaş","Türk yazarı",1958-10-15
"İhsan Oktay Anar","Türk yazarı",1960-09-18
"Tahsin Yücel","Türk yazarı",1933-11-26
"Kemal Tahir","Türk yazarı",1910-03-13
"Leyla Erbil","Türk yazarı",1931-12-21
"Mahmut Makal","Türk yazarı",1930-09-09
"Nezihe Meriç","Türk yazarı",1925-11-20
"Oktay Akbal","Türk yazarı",1923-11-15
"Pınar Kür","Türk yazarı",1943-10-26
"Rasim Özdenören","Türk yazarı",1940-11-01
"Selim İleri","Türk yazarı",1949-01-26
"Talip Apaydın","Türk yazarı",1926-06-15
"Ümit Yaşar Oğuzcan","Türk şairi",1926-10-19
"Vüs'at O. Bener","Türk yazarı",1922-07-15
"Yaşar Nabi Nayır","Türk yazarı",1908-04-10
"Zeki Ömer Defne","Türk yazarı",1913-01-01
"Azra Erhat","Türk yazarı",1915-11-26
"Behçet Necatigil","Türk şairi",1916-04-16
"Cahit Zarifoğlu","Türk şairi",1940-06-07
"Dursun Akçam","Türk yazarı",1930-01-01
"Erendiz Atasü","Türk yazarı",1947-02-15
"Fethiye Çetin","Türk yazarı",1950-01-01
"Güngör Dilmen","Türk yazarı",1930-03-04
"Haldun Taner","Türk yazarı",1915-03-16
"İnci Enginün","Türk yazarı",1939-01-01
"Jale Parla","Türk yazarı",1945-01-01
"Kemal Özer","Türk şairi",1943-01-01
"Levent Yılmaz","Türk yazarı",1960-01-01
"Metin Celal","Türk yazarı",1954-01-01
"Nuriye Ulviye Mevlan Civelek","Türk yazarı",1893-01-01
"Orhan Okay","Türk yazarı",1931-01-01
"Pembe Hanım","Türk yazarı",1900-01-01
"Qeyas Xerîbî","Kürt şairi",1958-01-01
"Rıza Tevfik Bölükbaşı","Türk şairi",1869-02-05
"Samiha Ayverdi","Türk yazarı",1905-06-17
"Turhan Selçuk","Türk karikatürist",1922-11-22
"Ülker Köksal","Türk yazarı",1935-01-01
"Vüsal Baba","Türk şairi",1970-01-01
"Yaşar Kemal Beyatçı","Türk yazarı",1940-01-01
"Zehra İpşiroğlu","Türk yazarı",1933-01-01
"Abidin Dino","Türk yazarı",1913-03-23
"Burhan Arpad","Türk yazarı",1931-01-01
"Cemal Kurnaz","Türk yazarı",1951-01-01
"Duygu Asena","Türk yazarı",1946-04-19
"Erol Güney","Türk yazarı",1938-01-01
"Füruzan","Türk yazarı",1935-05-13
"Gülşah Elikbank","Türk yazarı",1960-01-01
"Hasan Pulur","Türk yazarı",1940-09-29
"İbrahim Yalçın","Türk yazarı",1945-01-01
"Jülide Kural","Türk yazarı",1950-01-01
"Kemal Burkay","Türk yazarı",1937-01-01
"Leyla Gencer","Türk opera sanatçısı",1928-10-10
"Muzaffer Tayyip Uslu","Türk yazarı",1914-01-01
"Nâzım Hikmet Ran","Türk şairi",1902-01-15
"Osman Türkay","Türk şairi",1927-01-01
"Pak Mun-il","Kore yazarı",1939-01-01
"Quincy Jones","Amerikalı müzisyen",1933-03-14
"Recep Bilginer","Türk yazarı",1922-01-01
"Sabahattin Eyüboğlu","Türk yazarı",1908-01-19
"Taner Baybars","Türk şairi",1936-06-18
"Uğur Güdük","Türk yazarı",1970-01-01
"Vecihi Hürkuş","Türk havacı",1896-01-06
